symbol,principal_usd,units,start_date,end_date,start_price,end_price,current_value_usd,pnl_usd,total_return
C:EURUSD,1000.0,880.0492827598345,2025-04-25,2026-04-24,1.1363,1.172,1031.417759394526,31.417759394526,0.031417759394526
C:GBPUSD,1000.0,751.3712525358779,2025-04-25,2026-04-24,1.3309,1.3533,1016.8307160568036,16.830716056803567,0.016830716056803568
BTC,1000.0,0.010652711418281483,2025-04-25,2026-04-24,93872.81422867288,78260.61998045091,833.6878000675374,-166.3121999324626,-0.1663121999324626
SPY,1000.0,1.8160685747493825,2025-04-25,2026-04-24,550.64,713.94,1296.5639982565742,296.5639982565742,0.2965639982565742
USD,1000.0,1000.0,2025-04-25,2026-04-24,1.0,1.0,1000.0,0.0,0.0
MSFT,1000.0,2.5519969376036746,2025-04-25,2026-04-24,391.85,424.62,1083.6289396452723,83.62893964527234,0.08362893964527233
GOOGL,1000.0,6.174364040503828,2025-04-25,2026-04-24,161.96,344.4,2126.4509755495183,1126.4509755495183,1.1264509755495182
AAPL,1000.0,4.7782874617737,2025-04-25,2026-04-24,209.28,271.06,1295.2025993883792,295.2025993883792,0.2952025993883792
