strategy,symbol,principal_usd,n_buys,units,current_value_usd,pnl_usd,total_return
dca,BTC,1200.0,12,0.012604071069214124,975.0673119940622,-224.93268800593785,-0.18744390667161487
lump_sum,BTC,1200.0,1,0.012791903534236725,989.598275503317,-210.40172449668296,-0.17533477041390247
